testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
117;7;0;-4;4;0;TRUE;FALSE;TRUE;FALSE;0.00112715;8.76449;24.1719;-225;15.0885;360;0;-3;3;0;-0.000269411;8.76553;24.1722;-225;15.0884;360;-1;-3;3;0;-0.000269276;8.76553;24.1722;-225;15.0884;360
118;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-44.9998;-11.8931;-35.0017;-225;56.4403;45.0001;-1;-3;0;0;-44.9999;-11.8931;-35.0017;-225;56.4403;45.0001;-1;-3;0;0;-44.9999;-11.8931;-35.0017;-225;56.4403;45.0001
119;1;0;-4;-4;0;TRUE;FALSE;TRUE;FALSE;-45.0004;1.18103;-69.6371;-270;15.0279;-135;-1;-4;-2;0;-45.0004;1.18104;-69.6371;-270;15.0279;-135;-1;-4;-2;0;-45.0004;1.18104;-69.6371;-270;15.0279;-135
120;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;-45.0008;-4.29093;-48.051;-45.0003;59.467;270;-1;-1;2;0;-45.0005;-4.2903;-48.0505;-45.0005;59.4671;270;-1;-1;2;0;-45.0005;-4.29031;-48.0505;-45.0005;59.4671;270
123;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-0.00207687;19.7622;-42.068;-270.001;36.0674;224.999;-1;-4;2;0;-0.000731288;19.7632;-42.0676;-270.001;36.0674;224.999;-1;-4;2;0;-0.000731408;19.7632;-42.0676;-270.001;36.0674;224.999
123;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;-0.00189108;19.7624;-42.068;89.999;36.0674;224.999;-1;0;2;0;-0.000731288;19.7632;-42.0676;89.9993;36.0674;224.999;-1;0;2;0;-0.000731325;19.7632;-42.0676;89.9993;36.0674;224.999
125;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;44.9968;23.0328;23.2158;90.001;30.3456;-134.999;0;1;-2;0;45.0008;23.0335;23.216;90.0008;30.3452;-134.999;0;1;-2;0;45.0008;23.0335;23.216;90.0008;30.3452;-134.999
125;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;44.9979;23.0326;23.2157;90.0003;30.345;225.001;0;1;2;0;45.0008;23.0335;23.216;90.0008;30.3452;225.001;0;1;2;0;45.0008;23.0335;23.216;90.0008;30.3452;225.001
126;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;134.999;43.3032;-57.2152;180;52.0897;-135;1;1;-2;0;135;43.3039;-57.2152;180;52.0896;-135;1;1;-2;0;135;43.3039;-57.2152;180;52.0896;-135
127;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;0.000786463;-59.8865;13.6784;0.000721011;8.88638;-44.9993;0;0;-1;0;0.000713353;-59.8865;13.6784;0.000727059;8.88638;-44.9993;0;0;-1;0;0.000712512;-59.8865;13.6784;0.000740455;8.88637;-44.9993
128;4;0;-4;0;0;FALSE;TRUE;FALSE;TRUE;89.9992;-38.9499;-18.0251;-224.999;32.1492;-134.999;0;-3;-2;0;90.0007;-38.9496;-18.0251;-224.999;32.1488;-134.999;1;-3;-2;0;90.0007;-38.9496;-18.0251;-224.999;32.1488;-134.999
128;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;89.9986;-38.9511;-18.0255;135;32.1484;-135;0;1;-2;0;90.0007;-38.9496;-18.0251;135.001;32.1488;-134.999;1;1;-2;0;90.0007;-38.9496;-18.0251;135.001;32.1488;-134.999
129;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;2.90916E-5;-5.84726;38.6214;225;11.124;-180;0;2;-2;0;-9.49629E-5;-5.84674;38.6215;225;11.124;-180;-1;2;-3;0;-9.4997E-5;-5.84674;38.6215;225;11.124;-180
130;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;-44.9983;-23.1547;36.2808;-134.999;18.9904;-314.999;-1;-2;-4;0;-44.9994;-23.1544;36.2807;-134.999;18.9904;-314.999;-1;-2;-4;0;-44.9994;-23.1544;36.2807;-134.999;18.9904;-314.999
130;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;-44.9993;-23.1544;36.2807;-134.999;18.9904;45.0006;-1;-2;0;0;-44.9994;-23.1544;36.2807;-134.999;18.9904;45.0006;-1;-2;0;0;-44.9994;-23.1544;36.2807;-134.999;18.9904;45.0006
131;3;0;4;-4;0;TRUE;FALSE;TRUE;FALSE;-89.9985;23.2197;-54.438;270;16.9084;-359.999;-1;3;-4;0;-89.9996;23.2203;-54.438;270;16.9085;-360;-1;3;-4;0;-89.9996;23.2203;-54.438;270;16.9085;-360
132;1;0;-4;-4;0;FALSE;TRUE;FALSE;TRUE;44.9984;4.33362;28.6237;-180.001;11.2412;-180.001;0;-3;-3;0;44.9991;4.33424;28.6236;-180.001;11.2412;-180.001;0;-3;-3;0;44.9991;4.33424;28.6236;-180.001;11.2412;-180.001
132;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;44.9987;4.33384;28.6236;-180.001;11.2412;179.999;0;-3;1;0;44.9991;4.33424;28.6236;-180.001;11.2412;179.999;0;-3;1;0;44.9991;4.33424;28.6236;-180.001;11.2412;179.999
133;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-44.9988;-8.23167;30.0046;-270;42.1944;44.9993;-1;-4;0;0;-45.0005;-8.23084;30.0043;-270;42.1943;44.9995;-1;-4;0;0;-45.0005;-8.23084;30.0043;-270;42.1943;44.9995
135;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;134.999;48.7928;-8.83679;135;37.4627;359.999;1;1;3;0;134.999;48.7936;-8.83664;134.999;37.4627;359.999;1;1;3;0;134.999;48.7936;-8.83664;134.999;37.4627;359.999
143;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;134.999;11.0609;-52.022;180;46.296;270;1;1;2;0;135;11.0617;-52.0219;180;46.296;270;1;1;2;0;135;11.0617;-52.0219;180;46.296;270
144;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;45.0013;13.537;47.9886;45.0009;46.166;-179.999;0;0;-2;0;45.0009;13.5374;47.9885;45.0009;46.166;-179.999;0;0;-2;0;45.0009;13.5374;47.9885;45.0009;46.166;-179.999
145;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;44.9997;29.7128;-64.4557;-225;8.4579;-0.000844866;0;-3;-1;0;44.9995;29.7134;-64.4557;-225.001;8.4579;-0.000528142;0;-3;-1;0;44.9995;29.7134;-64.4557;-225.001;8.4579;-0.000517774
